experiment_id,timestamp,biomarker,concentration_ng_ml,TEER,viability_percent,treatment
LIVER_000,2024-01-01 00:00:00,ALB,25.748003149373172,786.1735698828816,95.23844269050346,drug_B
LIVER_000,2024-01-01 01:00:00,ALB,43.013539068971696,708.3173156181629,91.37926409863616,drug_B
LIVER_000,2024-01-01 02:00:00,ALB,23.092794584021004,901.0515284806527,89.09560932988242,control
LIVER_000,2024-01-01 03:00:00,ALB,15.447004428328247,946.2378120346017,99.69357483807299,control
LIVER_000,2024-01-01 04:00:00,ALB,8.47856389742537,743.7712470759027,86.93584439832789,drug_B
LIVER_000,2024-01-01 05:00:00,ALB,23.502896439449195,946.5648768921554,90.87111849756732,drug_B
LIVER_000,2024-01-01 06:00:00,ALB,21.568465150499083,796.5347815772401,97.67169632751272,drug_B
LIVER_000,2024-01-01 07:00:00,ALB,19.06067335636411,739.9746149894088,96.73719910523319,control
LIVER_000,2024-01-01 08:00:00,ALB,13.81094975819432,722.1617992909106,96.74421428859507,drug_B
LIVER_000,2024-01-01 09:00:00,ALB,44.27522621707642,761.3527049435445,86.20614879037458,drug_A
LIVER_000,2024-01-01 10:00:00,ALB,10.670046710428172,909.1992264357671,105.8915652077622,drug_A
LIVER_000,2024-01-01 11:00:00,ALB,36.48203188077405,582.1665753176292,86.78051795882583,drug_A
LIVER_000,2024-01-01 12:00:00,ALB,12.761166725780477,918.8625726430611,95.92766062249123,drug_A
LIVER_000,2024-01-01 13:00:00,ALB,75.79293220599776,699.0914657134892,84.08352893231556,drug_A
LIVER_000,2024-01-01 14:00:00,ALB,64.73960628834591,907.0985187017369,92.4820823951513,control
LIVER_000,2024-01-01 15:00:00,ALB,24.76796421996264,832.4083969394795,90.07458859791842,control
LIVER_000,2024-01-01 16:00:00,ALB,19.653031451613355,772.4699089753607,84.18466602706744,drug_B
LIVER_000,2024-01-01 17:00:00,ALB,13.493181771942366,858.2122794713039,96.43874229796678,drug_B
LIVER_000,2024-01-01 18:00:00,ALB,25.483247964475918,930.3661268398585,93.05793506163008,drug_B
LIVER_000,2024-01-01 19:00:00,ALB,27.07260478618585,783.1794911900915,97.82384322752262,control
LIVER_000,2024-01-01 20:00:00,ALB,18.377625869739955,758.96166913137,97.8985817235035,drug_A
LIVER_000,2024-01-01 21:00:00,ALB,12.818584478108212,792.7989878419667,97.01766448946012,control
LIVER_000,2024-01-01 22:00:00,ALB,12.592716352421224,878.4208187653938,88.92562120291345,control
LIVER_000,2024-01-01 23:00:00,ALB,23.72302795909588,815.0489078110595,91.43289374326802,control
LIVER_001,2024-01-02 00:00:00,ALB,21.028536332509873,601.2431085399107,90.90164056081244,control
LIVER_001,2024-01-02 01:00:00,ALB,24.01206195983497,658.1403536984442,92.95168492482584,control
LIVER_001,2024-01-02 02:00:00,ALB,18.063968961321677,757.3131205960277,94.50724165762402,drug_A
LIVER_001,2024-01-02 03:00:00,ALB,35.841029997596884,651.7575753141086,90.85576241880491,drug_A
LIVER_001,2024-01-02 04:00:00,ALB,16.910922743571618,875.0785885589421,90.36187408360999,drug_A
LIVER_001,2024-01-02 05:00:00,ALB,13.055388662596878,774.3369817307446,90.1608713793362,drug_A
LIVER_001,2024-01-02 06:00:00,ALB,12.9986762157578,749.3356780368476,85.45024656393763,control
LIVER_001,2024-01-02 07:00:00,ALB,87.51688168005518,765.728548347323,87.9886136538919,drug_B
LIVER_001,2024-01-02 08:00:00,ALB,15.77519327959293,743.0171651601596,81.54200165156368,drug_A
LIVER_001,2024-01-02 09:00:00,ALB,37.78341559143343,798.144919548836,83.63247689004888,control
LIVER_001,2024-01-02 10:00:00,ALB,16.10479394756787,791.5834914818822,98.1850803646823,drug_A
LIVER_001,2024-01-02 11:00:00,ALB,9.843000147548041,796.5288230294757,86.15660981190234,drug_A
LIVER_001,2024-01-02 12:00:00,ALB,29.47812371761672,685.0207422505641,88.12331947021528,drug_B
LIVER_001,2024-01-02 13:00:00,ALB,29.564385015128966,786.270899632073,99.00660782346812,drug_A
LIVER_001,2024-01-02 14:00:00,ALB,26.9350536213797,1019.0455625809979,87.04731837434656,control
LIVER_001,2024-01-02 15:00:00,ALB,15.13259664273221,758.3543636448625,96.28751625794057,drug_B
LIVER_001,2024-01-02 16:00:00,ALB,31.3043106092209,860.5483130847675,88.39851003570594,control
LIVER_001,2024-01-02 17:00:00,ALB,17.549634359216384,708.0575765766197,99.7496720250877,drug_A
LIVER_001,2024-01-02 18:00:00,ALB,25.5590016456964,892.6456358620322,87.81209304118443,drug_B
LIVER_001,2024-01-02 19:00:00,ALB,28.179451237055364,764.3254974231805,94.78060899266983,drug_A
LIVER_001,2024-01-02 20:00:00,ALB,20.216860811510344,837.7769591973091,92.31412299866591,drug_B
